CCFS_A,CCFS_B,Mud_Diamict,Diamict_only,Al,Ca,Zr,K,Rb,Si,b_star,NGR,MS,Mud_Diamict_code,Diamict_only_code
0.676,0.58,mud,NA,10.836,3.7745,47.41,1.5796,56.232,41.651,1.9,0.021,47.8,1,1
0.7,0.6,mud,NA,10.5,3.8962,45.021,1.6284,54.422,41.705,2.5,0.021,47.1,1,1
0.701,0.6,mud,NA,10.5,3.8962,45.021,1.6284,54.422,41.705,2.5,0.021,47.1,1,1
0.725,0.62,mud,NA,9.4889,4.075,52.186,1.6536,57.303,39.913,3.4,0.021,46.5,1,1
0.726,0.62,mud,NA,9.4889,4.075,52.186,1.6536,57.303,39.913,3.4,0.021,46.5,1,1
0.75,0.64,mud,NA,10.029,4.1721,48.942,1.6432,55.598,39.869,3.4,0.021,46.5,1,1
0.751,0.64,mud,NA,10.029,4.1721,48.942,1.6432,55.598,39.869,3.4,0.021,46.5,1,1
0.775,0.66,mud,NA,9.7765,4.2419,48.748,1.6796,57.218,39.717,2.4,0.021,46.3,1,1
0.776,0.66,mud,NA,9.7765,4.2419,48.748,1.6796,57.218,39.717,2.4,0.021,46.3,1,1
0.8,0.68,mud,NA,10.575,4.1198,46.298,1.6408,54.692,40.838,2.4,0.021,46.2,1,1
0.801,0.68,mud,NA,10.575,4.1198,46.298,1.6408,54.692,40.838,2.4,0.021,46.2,1,1
0.825,0.71,mud,NA,9.2635,4.3334,52.911,1.6603,64.948,37.118,1.6,0.021,46.5,1,1
0.826,0.71,mud,NA,9.2635,4.3334,52.911,1.6603,64.948,37.118,1.6,0.021,46.5,1,1
0.85,0.73,mud,NA,10.097,4.1239,47.34,1.6423,57.483,40.153,2.4,0.021,46.7,1,1
0.851,0.73,mud,NA,10.097,4.1239,47.34,1.6423,57.483,40.153,2.4,0.021,46.7,1,1
0.875,0.75,mud,NA,8.7527,4.1303,53.7,1.6243,64.133,36.266,2.4,0.021,46.9,1,1
0.876,0.75,mud,NA,8.7527,4.1303,53.7,1.6243,64.133,36.266,2.4,0.021,46.9,1,1
0.9,0.77,mud,NA,9.3611,3.8455,52.03,1.6216,62.764,37.676,2.1,0.021,46.7,1,1
0.901,0.77,mud,NA,9.3611,3.8455,52.03,1.6216,62.764,37.676,2.1,0.021,46.7,1,1
0.925,0.79,mud,NA,10.05,3.8358,47.929,1.6682,60.421,39.904,1.8,0.02,46.7,1,1
0.926,0.79,mud,NA,10.05,3.8358,47.929,1.6682,60.421,39.904,1.8,0.02,46.7,1,1
0.95,0.81,mud,NA,9.417,4.0595,50.636,1.7168,63.828,37.755,1.8,0.02,46.5,1,1
