CCFS_A,CCFS_B,Mud_Diamict,Diamict_only,Al,Ca,Zr,K,Rb,Si,b_star,NGR,MS,Mud_Diamict_code,Diamict_only_code
23.555,20.14,diamict,sandy_diamict,12.476,3.9635,56.332,1.4486,39.695,46.092,-1.9,0.023,87.9,2,5
23.568,20.15,diamict,sandy_diamict,12.476,3.9635,56.332,1.4486,39.695,46.092,-0.7,0.023,87.9,2,5
23.593,20.17,diamict,massive_diamict,12.596,4.1277,54.839,1.5494,41.185,45.852,-1.1,0.023,85.2,2,3
23.605,20.18,diamict,massive_diamict,12.596,4.1277,54.839,1.5494,41.185,45.852,-1.1,0.023,83,2,3
23.618,20.19,diamict,massive_diamict,11.096,5.6508,58.266,1.357,40.009,43.424,-0.1,0.023,83,2,3
23.643,20.22,diamict,massive_diamict,12.37,4.1336,58.392,1.4735,38.26,45.381,1,0.023,79.3,2,3
23.655,20.23,diamict,massive_diamict,12.414,4.0558,50.821,1.5515,42.312,44.931,1,0.023,77.9,2,3
23.668,20.24,diamict,massive_diamict,12.414,4.0558,50.821,1.5515,42.312,44.931,1,0.023,77.9,2,3
23.693,20.26,diamict,massive_diamict,11.993,3.9521,50.801,1.4319,39.457,45.096,0.9,0.023,75.4,2,3
23.705,20.27,diamict,massive_diamict,11.993,3.9521,50.801,1.4319,39.457,45.096,0,0.023,69.5,2,3
23.718,20.28,diamict,massive_diamict,11.946,4.1648,53.218,1.5102,41.391,44.813,0,0.023,69.5,2,3
23.743,20.3,diamict,massive_diamict,12.364,4.3127,49.043,1.5558,43.504,44.481,0.6,0.023,67.6,2,3
23.755,20.31,diamict,massive_diamict,11.99,4.2238,53.665,1.5165,42.2,45.456,1,0.023,69.1,2,3
23.768,20.32,diamict,massive_diamict,11.99,4.2238,53.665,1.5165,42.2,45.456,-2.1,0.023,69.1,2,3
23.793,20.34,diamict,sandy_diamict,10.991,4.3197,51.958,1.4089,39.066,41.721,0.2,0.023,74.3,2,5
23.805,20.35,diamict,sandy_diamict,10.991,4.3197,51.958,1.4089,39.066,41.721,0.2,0.023,70.5,2,5
23.809,20.36,diamict,sandy_diamict,10.991,4.3197,51.958,1.4089,39.066,41.721,0.2,0.022,70.5,2,5
23.817,20.36,diamict,sandy_diamict,10.991,4.3197,51.958,1.4089,39.066,41.721,0.2,0.022,70.5,2,5
23.818,20.37,diamict,sandy_diamict,10.991,4.3197,51.958,1.4089,39.066,41.721,0.2,0.022,70.5,2,5
23.842,20.39,diamict,sandy_diamict,11.105,4.4313,51.41,1.4804,43.888,41.758,0.2,0.022,62.8,2,5
23.859,20.4,diamict,sandy_diamict,11.066,4.3805,59.276,1.5021,45.315,42.275,0.2,0.022,74.3,2,5
23.867,20.41,diamict,sandy_diamict,11.066,4.3805,59.276,1.5021,45.315,42.275,0.6,0.022,74.3,2,5
23.892,20.43,diamict,massive_diamict,11.762,4.4315,54.484,1.5408,46.208,43.972,0,0.022,76.7,2,3
23.909,20.44,diamict,massive_diamict,11.762,4.4315,54.484,1.5408,46.208,43.972,0.3,0.023,76.2,2,3
23.917,20.45,diamict,massive_diamict,11.965,4.4909,48.197,1.5334,43.749,44.582,0.3,0.023,76.2,2,3
23.942,20.47,diamict,massive_diamict,11.79,4.2789,49.479,1.4787,41.108,43.858,-0.6,0.023,76.1,2,3
23.959,20.49,diamict,massive_diamict,12.177,4.4325,47.603,1.4812,40.417,44.531,-0.3,0.023,75.9,2,3
23.967,20.49,diamict,massive_diamict,12.177,4.4325,47.603,1.4812,40.417,44.531,-0.3,0.023,75.9,2,3
23.992,20.51,diamict,massive_diamict,11.877,4.5488,52.62,1.5049,44.107,43.302,-0.3,0.023,75.3,2,3
24.009,20.53,diamict,massive_diamict,11.877,4.5488,52.62,1.5049,44.107,43.302,-1.8,0.024,74.3,2,3
24.017,20.54,diamict,massive_diamict,11.78,4.3804,52.458,1.4934,43.418,42.778,-1.8,0.024,74.3,2,3
24.042,20.56,diamict,massive_diamict,12.261,4.4054,49.892,1.4839,43.401,43.755,-0.6,0.024,75.9,2,3
24.059,20.57,diamict,massive_diamict,12.369,4.2473,50.037,1.4795,40.958,44.7,-0.6,0.024,76.9,2,3
24.067,20.58,diamict,massive_diamict,12.369,4.2473,50.037,1.4795,40.958,44.7,-0.6,0.024,76.9,2,3
24.092,20.6,diamict,massive_diamict,12.177,4.3518,49.963,1.5403,43.08,44.2,-1.8,0.024,73.9,2,3
24.109,20.61,diamict,massive_diamict,12.177,4.3518,49.963,1.5403,43.08,44.2,-1.8,0.024,75.7,2,3
24.117,20.62,diamict,massive_diamict,12.502,4.2836,49.159,1.4568,40.618,44.655,-0.3,0.024,75.7,2,3
24.142,20.64,diamict,massive_diamict,12.341,4.3044,46.67,1.5072,40.636,44.047,0.3,0.024,79,2,3
24.159,20.66,diamict,massive_diamict,11.691,4.507,52.103,1.5028,41.117,43.968,-0.8,0.024,79.1,2,3
24.167,20.66,diamict,massive_diamict,11.691,4.507,52.103,1.5028,41.117,43.968,-0.8,0.024,79.1,2,3
24.192,20.68,diamict,massive_diamict,11.737,4.2522,50.642,1.4245,39.781,42.818,-2.2,0.024,85.4,2,3
24.209,20.7,diamict,massive_diamict,12.312,4.468,50.963,1.4775,41.802,45.686,-0.7,0.024,85,2,3
24.217,20.71,diamict,massive_diamict,12.312,4.468,50.963,1.4775,41.802,45.686,-0.7,0.024,85,2,3
24.242,20.73,diamict,massive_diamict,11.932,4.6033,52.634,1.5062,46.212,43.93,0.3,0.024,78.5,2,3
24.259,20.74,diamict,massive_diamict,11.982,4.6081,50.145,1.4559,40.726,44.678,-0.4,0.024,86.3,2,3
24.267,20.75,diamict,massive_diamict,11.982,4.6081,50.145,1.4559,40.726,44.678,-1,0.024,86.3,2,3
24.292,20.77,diamict,massive_diamict,12.198,4.7194,50.089,1.4775,40.971,44.079,-0.3,0.024,97.4,2,3
24.309,20.78,diamict,massive_diamict,12.198,4.7194,50.089,1.4775,40.971,44.079,-0.3,0.024,104,2,3
24.317,20.79,diamict,massive_diamict,12.474,4.3835,46.707,1.4053,38.056,45.099,-0.5,0.024,104,2,3
24.342,20.81,diamict,massive_diamict,10.842,4.2902,50.558,1.346,41.087,40.653,-0.9,0.024,109,2,3
24.359,20.83,diamict,massive_diamict,12.135,4.3797,50.094,1.3806,37.426,44.635,-0.6,0.024,91.8,2,3
24.367,20.83,diamict,massive_diamict,12.135,4.3797,50.094,1.3806,37.426,44.635,-0.6,0.024,91.8,2,3
24.392,20.86,diamict,massive_diamict,12.574,4.5502,50.931,1.4497,37.8,46.099,-0.4,0.024,90.3,2,3
24.409,20.87,diamict,massive_diamict,12.574,4.5502,50.931,1.4497,37.8,46.099,-0.1,0.024,92.9,2,3
24.417,20.88,diamict,massive_diamict,12.031,4.7783,51.684,1.4494,38.009,45.123,-0.1,0.024,92.9,2,3
24.442,20.9,diamict,massive_diamict,12.333,4.6282,52.273,1.4609,40.47,45.388,-0.1,0.024,93.6,2,3
24.459,20.91,diamict,massive_diamict,11.705,4.6553,58.206,1.5155,40.952,44.288,-0.1,0.024,89.5,2,3
24.467,20.92,diamict,massive_diamict,11.705,4.6553,58.206,1.5155,40.952,44.288,-0.2,0.024,89.5,2,3
24.492,20.94,diamict,massive_diamict,12.265,4.3676,47.806,1.4437,38.916,44.153,0,0.024,85.5,2,3
24.509,20.96,diamict,massive_diamict,12.265,4.3676,47.806,1.4437,38.916,44.153,-1,0.025,84.9,2,3
24.517,20.96,diamict,massive_diamict,12.69,4.4837,46.211,1.4428,41.684,45.294,-1,0.025,84.9,2,3
24.542,20.98,diamict,massive_diamict,12.429,4.5009,46.139,1.4948,44.24,45.591,-0.3,0.025,84.8,2,3
24.559,21,diamict,massive_diamict,12.308,4.5784,47.854,1.5035,42.067,45.328,-0.4,0.025,81.8,2,3
24.567,21.01,diamict,massive_diamict,12.308,4.5784,47.854,1.5035,42.067,45.328,0.3,0.025,81.8,2,3
24.592,21.03,diamict,massive_diamict,12.379,4.3645,52.579,1.4009,40.664,45.02,0,0.025,96.6,2,3
24.609,21.04,diamict,massive_diamict,12.379,4.3645,52.579,1.4009,40.664,45.02,0.2,0.025,108,2,3
24.617,21.05,diamict,massive_diamict,11.701,4.4842,54.494,1.4801,40.961,44.43,0.2,0.025,108,2,3
24.642,21.07,diamict,massive_diamict,11.904,4.1714,54.89,1.4443,39.565,44.991,0.8,0.025,83,2,3
24.659,21.08,diamict,massive_diamict,12.183,4.0935,57.393,1.4505,42.377,44.907,0.9,0.025,84.5,2,3
24.667,21.09,diamict,massive_diamict,12.183,4.0935,57.393,1.4505,42.377,44.907,0.6,0.025,84.5,2,3
24.692,21.11,diamict,massive_diamict,12.039,4.0526,60.612,1.4479,43.127,44.907,-0.2,0.025,83.9,2,3
24.709,21.13,diamict,massive_diamict,12.039,4.0526,60.612,1.4479,43.127,44.907,0,0.024,81,2,3
24.717,21.13,diamict,massive_diamict,12.05,3.9953,60.106,1.4694,41.513,44.751,0,0.024,81,2,3
24.742,21.16,diamict,massive_diamict,11.639,4.1163,65.584,1.5124,44.463,44.373,-0.4,0.024,79,2,3
24.759,21.17,diamict,massive_diamict,12.648,3.8266,58.445,1.4802,40.521,45.331,-0.4,0.024,77.6,2,3
24.767,21.18,diamict,massive_diamict,12.648,3.8266,58.445,1.4802,40.521,45.331,0,0.024,77.6,2,3
24.792,21.2,diamict,massive_diamict,12.671,3.9699,58.546,1.5321,40.48,45.051,-0.1,0.024,75.2,2,3
24.809,21.21,diamict,massive_diamict,12.671,3.9699,58.546,1.5321,40.48,45.051,-0.9,0.024,73.5,2,3
24.817,21.22,diamict,massive_diamict,12.891,3.7507,56.059,1.487,41.786,45.062,-0.9,0.024,73.5,2,3
24.842,21.24,diamict,massive_diamict,12.679,3.8648,58.159,1.5138,43.373,44.948,-0.4,0.024,74.2,2,3
24.859,21.26,diamict,massive_diamict,13.098,3.7458,58.811,1.4881,39.216,45.409,-0.6,0.024,75.6,2,3
24.867,21.26,diamict,massive_diamict,13.098,3.7458,58.811,1.4881,39.216,45.409,-0.6,0.024,75.6,2,3
24.892,21.28,diamict,massive_diamict,13.031,3.6557,56.378,1.5478,42.225,44.705,-0.9,0.024,74.1,2,3
24.924,21.31,diamict,massive_diamict,12.736,3.7787,51.885,1.5508,42.132,45.105,-1.6,0.024,72.4,2,3
24.927,21.31,diamict,massive_diamict,12.736,3.7787,51.885,1.5508,42.132,45.105,-1.6,0.024,72.4,2,3
24.949,21.33,diamict,massive_diamict,13.481,3.4244,55.548,1.5655,42.372,45.372,-0.2,0.024,71.3,2,3
24.974,21.35,diamict,massive_diamict,12.922,3.7855,55.18,1.5359,41.103,45.371,-1.6,0.024,71.2,2,3
24.977,21.36,diamict,massive_diamict,12.922,3.7855,55.18,1.5359,41.103,45.371,-1.6,0.024,70.9,2,3
24.999,21.37,diamict,massive_diamict,12.691,3.5781,54.702,1.5849,42.787,44.232,-1.5,0.024,70.9,2,3
25.024,21.4,diamict,massive_diamict,12.616,3.6659,53.679,1.5481,42.883,44.452,-1.6,0.024,72.8,2,3
25.027,21.4,diamict,massive_diamict,12.616,3.6659,53.679,1.5481,42.883,44.452,-1.6,0.024,72.8,2,3
25.049,21.42,diamict,massive_diamict,12.217,3.6581,56.426,1.5024,42.781,44.498,-0.3,0.024,74.7,2,3
25.074,21.44,diamict,massive_diamict,13.085,3.5542,51.824,1.5567,42.509,46.442,-0.3,0.024,77,2,3
25.077,21.44,diamict,massive_diamict,13.085,3.5542,51.824,1.5567,42.509,46.442,-0.3,0.024,77,2,3
25.099,21.46,diamict,massive_diamict,12.871,3.3467,51.038,1.5757,40.905,47.662,0.1,0.024,77,2,3
25.124,21.48,diamict,massive_diamict,13.088,3.464,49.475,1.6183,42.933,45.084,-0.5,0.024,76.3,2,3
25.127,21.48,diamict,massive_diamict,13.088,3.464,49.475,1.6183,42.933,45.084,-0.5,0.024,76.3,2,3
25.149,21.5,diamict,massive_diamict,13.088,3.464,49.475,1.6183,42.933,45.084,-0.2,0.024,71.9,2,3
25.174,21.52,diamict,massive_diamict,12.789,3.5814,48.225,1.5665,42.598,45.256,-0.4,0.024,69.4,2,3
25.177,21.53,diamict,massive_diamict,12.789,3.5814,48.225,1.5665,42.598,45.256,-0.4,0.024,70.1,2,3
25.199,21.55,diamict,massive_diamict,13.04,3.7474,48.666,1.5429,41.888,45.402,-0.8,0.023,72.5,2,3
25.224,21.57,diamict,massive_diamict,12.437,3.9155,50.245,1.5675,42.967,44.411,0.3,0.023,75.7,2,3
25.227,21.57,diamict,massive_diamict,12.437,3.9155,50.245,1.5675,42.967,44.411,0.3,0.023,75.7,2,3
25.249,21.59,diamict,massive_diamict,12.263,4.113,54.793,1.5002,42.493,44.734,1,0.023,78.4,2,3
25.274,21.61,diamict,massive_diamict,11.968,4.2292,53.059,1.5365,43.167,43.958,0.3,0.023,78.4,2,3
25.277,21.61,diamict,massive_diamict,11.968,4.2292,53.059,1.5365,43.167,43.958,0.3,0.023,78.4,2,3
25.299,21.63,diamict,massive_diamict,11.334,4.276,57.389,1.5325,46.879,42.79,0.3,0.023,81.1,2,3
25.324,21.65,diamict,massive_diamict,11.685,4.2384,54.537,1.5013,43.575,43.595,0.3,0.023,83.1,2,3
25.327,21.66,diamict,massive_diamict,11.685,4.2384,54.537,1.5013,43.575,43.595,-0.2,0.023,83.3,2,3
25.349,21.67,diamict,massive_diamict,12.307,4.4206,51.069,1.5004,40.844,44.977,-0.2,0.023,83.3,2,3
25.374,21.7,diamict,massive_diamict,12.55,4.0985,50.582,1.5478,44.36,45.121,0.6,0.023,85.7,2,3
25.377,21.7,diamict,massive_diamict,12.55,4.0985,50.582,1.5478,44.36,45.121,0.6,0.023,85.7,2,3
25.399,21.72,diamict,massive_diamict,12.937,4.1914,48.293,1.4735,37.462,46.325,0.7,0.023,89.2,2,3
25.424,21.74,diamict,massive_diamict,12.694,4.296,50.359,1.4695,40.426,45.67,0.3,0.023,91.8,2,3
25.427,21.74,diamict,massive_diamict,12.694,4.296,50.359,1.4695,40.426,45.67,0.3,0.023,91.8,2,3
25.449,21.76,diamict,massive_diamict,12.726,4.2865,52.588,1.4677,40.493,46.082,0.7,0.023,91.8,2,3
25.474,21.78,diamict,massive_diamict,12.542,4.4114,48.357,1.4569,39.896,46.18,0,0.023,93.8,2,3
25.477,21.78,diamict,massive_diamict,12.542,4.4114,48.357,1.4569,39.896,46.18,0,0.023,93.8,2,3
25.499,21.8,diamict,massive_diamict,12.021,4.6891,50.584,1.5026,41.444,45.374,0,0.023,94.7,2,3
25.524,21.82,diamict,massive_diamict,12.481,4.3528,48.962,1.5028,40.607,45.784,-0.8,0.023,92,2,3
25.527,21.83,diamict,massive_diamict,12.481,4.3528,48.962,1.5028,40.607,45.784,-0.8,0.023,86.8,2,3
25.549,21.85,diamict,massive_diamict,12.481,4.3528,48.962,1.5028,40.607,45.784,-0.7,0.023,84.4,2,3
25.574,21.87,diamict,massive_diamict,12.575,4.3128,51.991,1.514,42.605,45.494,-1.6,0.023,84.9,2,3
25.577,21.87,diamict,massive_diamict,12.575,4.3128,51.991,1.514,42.605,45.494,-1.6,0.023,84.9,2,3
25.599,21.89,diamict,massive_diamict,12.247,4.4313,50.959,1.5341,42.014,45.142,-1,0.025,88.1,2,3
25.624,21.91,diamict,massive_diamict,12.031,4.5135,56.324,1.523,43.211,44.764,-0.8,0.025,88.1,2,3
25.627,21.91,diamict,massive_diamict,12.031,4.5135,56.324,1.523,43.211,44.764,-0.8,0.025,88.1,2,3
25.649,21.93,diamict,massive_diamict,11.49,4.5845,57.919,1.4464,46.442,43.279,-0.2,0.025,86.7,2,3
25.674,21.95,diamict,massive_diamict,11.161,4.638,52.92,1.5367,46.268,42.151,-0.2,0.025,82.7,2,3
25.677,21.95,diamict,massive_diamict,11.161,4.638,52.92,1.5367,46.268,42.151,-0.2,0.025,82.7,2,3
25.699,21.97,diamict,massive_diamict,11.044,4.442,50.302,1.5225,46.46,41.166,-1.4,0.025,80,2,3
25.724,21.99,diamict,massive_diamict,10.765,4.4765,52.222,1.5181,46.129,40.257,-0.6,0.029,76,2,3
25.727,22,diamict,massive_diamict,10.765,4.4765,52.222,1.5181,46.129,40.257,-1.2,0.029,67.6,2,3
25.749,22.02,diamict,massive_diamict,11.205,4.7284,51.108,1.4624,43.711,41.919,-0.8,0.029,82.9,2,3
25.777,22.04,diamict,massive_diamict,11.775,4.409,45.744,1.4586,40.829,42.501,0,0.029,93.5,2,3
25.795,22.06,diamict,massive_diamict,11.066,4.4685,49.797,1.5609,48.875,41.277,0,0.029,104,2,3
25.809,22.07,diamict,massive_diamict,11.066,4.4685,49.797,1.5609,48.875,41.277,0,0.026,104,2,3
25.834,22.09,diamict,massive_diamict,10.564,4.6627,52.416,1.5077,44.182,41.559,-0.6,0.026,75.4,2,3
25.845,22.1,diamict,massive_diamict,11.205,4.4921,47.367,1.5332,44.528,42.555,-0.6,0.026,75.4,2,3
25.859,22.11,diamict,massive_diamict,11.205,4.4921,47.367,1.5332,44.528,42.555,-0.5,0.026,78.2,2,3
25.884,22.13,diamict,massive_diamict,11.841,4.5315,48.545,1.5421,42.561,44.582,0,0.026,77.3,2,3
25.895,22.14,diamict,massive_diamict,11.841,4.5315,48.545,1.5421,42.561,44.582,0,0.026,77.3,2,3
25.909,22.15,diamict,massive_diamict,11.992,4.4663,45.539,1.5661,44.632,44.949,-0.4,0.024,77.1,2,3
25.934,22.17,diamict,massive_diamict,12.233,4.4236,48.225,1.5289,46.154,44.904,-0.1,0.024,78.1,2,3
25.945,22.18,diamict,massive_diamict,12.506,4.3125,45.017,1.5286,45.119,45.189,-0.3,0.024,78.1,2,3
25.959,22.2,diamict,massive_diamict,12.506,4.3125,45.017,1.5286,45.119,45.189,-0.7,0.024,77.9,2,3
25.984,22.22,diamict,massive_diamict,12.948,4.3663,46.829,1.5012,40.01,46.039,-1.1,0.024,78.5,2,3
25.995,22.23,diamict,massive_diamict,12.948,4.3663,46.829,1.5012,40.01,46.039,-0.3,0.024,78.5,2,3
26.009,22.24,diamict,massive_diamict,12.331,4.6221,52.384,1.5298,41.785,44.957,-0.3,0.024,82.7,2,3
26.034,22.26,diamict,massive_diamict,12.253,4.6361,49.321,1.495,41.775,45.325,-0.4,0.024,86,2,3
26.045,22.27,diamict,massive_diamict,12.049,4.6685,52.308,1.5329,44.257,44.022,-0.1,0.024,86,2,3
26.059,22.28,diamict,massive_diamict,12.049,4.6685,52.308,1.5329,44.257,44.022,-0.6,0.024,85.1,2,3
26.084,22.3,diamict,massive_diamict,12.546,4.4954,47.47,1.5296,43.432,44.996,-0.3,0.024,82.7,2,3
26.095,22.31,diamict,massive_diamict,12.546,4.4954,47.47,1.5296,43.432,44.996,-0.3,0.024,82.7,2,3
26.109,22.32,diamict,massive_diamict,12.166,4.6116,49.029,1.5617,44.627,44.703,0,0.024,80.6,2,3
26.134,22.35,diamict,massive_diamict,12.576,4.4919,47.913,1.5045,41.99,45.247,-0.9,0.024,77.2,2,3
26.145,22.35,diamict,massive_diamict,11.632,4.8367,49.616,1.5304,44.788,43.302,-0.9,0.024,77.2,2,3
26.159,22.37,diamict,massive_diamict,11.632,4.8367,49.616,1.5304,44.788,43.302,-0.6,0.024,76.9,2,3
26.184,22.39,diamict,massive_diamict,12.114,4.4768,48.649,1.521,43.803,43.768,-0.6,0.024,78.5,2,3
26.195,22.4,diamict,massive_diamict,12.114,4.4768,48.649,1.521,43.803,43.768,0.5,0.024,78.5,2,3
26.209,22.41,diamict,massive_diamict,11.643,4.6354,51.089,1.5336,44.771,42.984,0.5,0.024,77.8,2,3
26.234,22.43,diamict,massive_diamict,11.141,4.6377,56.466,1.5421,46.873,40.998,-0.5,0.024,77.7,2,3
26.245,22.44,diamict,massive_diamict,11.965,4.5943,52.083,1.5032,43.478,44.039,0.3,0.024,77.7,2,3
26.259,22.45,diamict,massive_diamict,11.965,4.5943,52.083,1.5032,43.478,44.039,-0.1,0.024,78,2,3
26.284,22.47,diamict,massive_diamict,12.162,4.6285,49.308,1.4777,43.18,44.979,-0.1,0.024,79,2,3
26.295,22.48,diamict,massive_diamict,12.162,4.6285,49.308,1.4777,43.18,44.979,-0.1,0.024,79,2,3
26.309,22.49,diamict,massive_diamict,12.334,4.6696,50.635,1.4824,43.331,45.249,0,0.024,81.1,2,3
26.334,22.52,diamict,massive_diamict,12.716,4.6269,49.335,1.475,41.872,45.537,0.3,0.024,81.8,2,3
26.345,22.53,diamict,massive_diamict,12.884,4.4647,47.354,1.4682,40.533,46.08,0.3,0.024,81.8,2,3
26.359,22.54,diamict,massive_diamict,12.884,4.4647,47.354,1.4682,40.533,46.08,0.4,0.024,80.3,2,3
26.384,22.56,diamict,massive_diamict,12.634,4.485,47.874,1.4803,41.489,45.217,0.4,0.024,78.8,2,3
26.395,22.57,diamict,massive_diamict,12.634,4.485,47.874,1.4803,41.489,45.217,0,0.024,78.8,2,3
26.409,22.58,diamict,massive_diamict,12.346,4.4912,50.572,1.5142,44.398,44.978,0,0.024,77.8,2,3
26.434,22.6,diamict,massive_diamict,12.234,4.5157,46.04,1.4829,42.656,44.768,-0.4,0.024,77.9,2,3
26.445,22.61,diamict,massive_diamict,12.726,4.5231,48.089,1.5146,43.121,45.27,0,0.024,77.9,2,3
26.459,22.62,diamict,massive_diamict,12.726,4.5231,48.089,1.5146,43.121,45.27,0,0.024,78.2,2,3
26.484,22.64,diamict,massive_diamict,12.728,4.454,48.953,1.4988,41.014,45.292,-1.1,0.024,78.4,2,3
26.495,22.65,diamict,massive_diamict,12.728,4.454,48.953,1.4988,41.014,45.292,-1.1,0.024,78.4,2,3
26.509,22.67,diamict,massive_diamict,12.52,4.5379,51.631,1.4804,41.942,45.266,0,0.024,79.5,2,3
26.534,22.69,diamict,massive_diamict,12.428,4.3759,46.643,1.5393,42.166,45.23,-0.5,0.024,78.9,2,3
26.545,22.7,diamict,massive_diamict,12.953,4.5022,46.189,1.5321,40.069,45.658,-0.5,0.024,78.9,2,3
26.559,22.71,diamict,massive_diamict,12.953,4.5022,46.189,1.5321,40.069,45.658,-0.3,0.024,77.7,2,3
26.584,22.73,diamict,massive_diamict,12.915,4.3344,47.854,1.5334,43.37,45.455,-0.1,0.024,76,2,3
26.595,22.74,diamict,massive_diamict,12.915,4.3344,47.854,1.5334,43.37,45.455,0.3,0.024,76,2,3
26.609,22.75,diamict,massive_diamict,12.433,4.3327,48.839,1.5279,41.761,45.297,0.3,0.024,74.6,2,3
26.634,22.77,diamict,massive_diamict,12.382,4.3714,46.799,1.4997,40.018,45.157,-1.2,0.024,75,2,3
26.645,22.78,diamict,massive_diamict,13.092,4.3145,46.098,1.533,43.434,45.485,-1.1,0.024,75,2,3
26.659,22.79,diamict,massive_diamict,13.092,4.3145,46.098,1.533,43.434,45.485,-1.1,0.024,75.9,2,3
26.684,22.82,diamict,massive_diamict,12.743,4.3399,47.709,1.5463,44.121,44.861,-0.3,0.024,75.3,2,3
26.695,22.83,diamict,massive_diamict,12.743,4.3399,47.709,1.5463,44.121,44.861,-0.5,0.024,73.7,2,3
26.709,22.84,diamict,massive_diamict,12.444,4.3295,51.474,1.5392,43.949,44.476,-0.5,0.024,73.7,2,3
26.734,22.86,diamict,massive_diamict,12.834,4.1552,44.799,1.5232,41.272,45.26,0.4,0.024,72.4,2,3
26.745,22.87,diamict,massive_diamict,12.518,4.2317,49.91,1.4939,44.107,44.574,0.4,0.024,72.4,2,3
26.759,22.88,diamict,massive_diamict,12.518,4.2317,49.91,1.4939,44.107,44.574,-0.8,0.024,71.4,2,3
26.784,22.9,diamict,massive_diamict,13.022,4.1951,44.934,1.4774,40.999,45.844,-0.2,0.024,72,2,3
26.795,22.91,diamict,massive_diamict,13.022,4.1951,44.934,1.4774,40.999,45.844,-0.2,0.024,72,2,3
26.809,22.92,diamict,massive_diamict,12.965,4.1986,48.159,1.5268,41.745,45.367,0.1,0.024,73.7,2,3
26.834,22.94,diamict,massive_diamict,12.788,4.1809,48.593,1.4946,42.724,45.315,0,0.024,74.3,2,3
26.845,22.95,diamict,massive_diamict,12.363,4.1266,51.322,1.4958,41.255,45.112,-0.4,0.024,74.3,2,3
26.859,22.97,diamict,massive_diamict,12.363,4.1266,51.322,1.4958,41.255,45.112,-0.3,0.024,74.9,2,3
26.884,22.99,diamict,massive_diamict,12.363,4.1266,51.322,1.4958,41.255,45.112,0.5,0.024,76,2,3
26.895,23,diamict,massive_diamict,12.722,4.0281,56.178,1.5272,41.755,45.201,0.7,0.024,76,2,3
26.909,23.01,diamict,massive_diamict,12.986,3.996,51.066,1.5481,43.509,45.565,0.7,0.024,76.8,2,3
26.934,23.03,diamict,massive_diamict,12.587,4.0232,52.303,1.5124,40.995,45.153,-0.5,0.024,78,2,3
26.945,23.04,diamict,massive_diamict,12.918,3.9824,51.555,1.5291,42.308,46,0.2,0.024,78,2,3
26.959,23.05,diamict,massive_diamict,12.918,3.9824,51.555,1.5291,42.308,46,-1.6,0.024,78.3,2,3
26.984,23.07,diamict,massive_diamict,13.093,4.0135,51.229,1.535,40.044,46.466,-0.6,0.024,77.8,2,3
26.995,23.08,diamict,massive_diamict,13.093,4.0135,51.229,1.535,40.044,46.466,-0.6,0.024,77.8,2,3
27.009,23.09,diamict,massive_diamict,12.864,3.9786,50.883,1.4766,36.896,46.458,-1.3,0.024,77.7,2,3
27.034,23.11,diamict,massive_diamict,12.977,3.9547,54.029,1.4531,36.279,46.85,0.3,0.024,77.5,2,3
27.045,23.12,diamict,massive_diamict,13.215,3.8994,52.283,1.4438,39.865,46.732,0.2,0.024,77.5,2,3
27.059,23.14,diamict,massive_diamict,13.215,3.8994,52.283,1.4438,39.865,46.732,0.3,0.024,79.2,2,3
27.084,23.16,diamict,massive_diamict,12.616,4.1777,53.995,1.5033,39.869,45.787,1.1,0.024,82.9,2,3
27.095,23.17,diamict,massive_diamict,12.616,4.1777,53.995,1.5033,39.869,45.787,0.5,0.024,82.9,2,3
27.109,23.18,diamict,massive_diamict,12.561,4.178,52.021,1.5296,37.783,45.278,0.5,0.025,85.7,2,3
27.134,23.2,diamict,massive_diamict,12.137,4.3527,56.851,1.492,42.567,44.293,0.8,0.025,87.8,2,3
27.145,23.21,diamict,massive_diamict,12.292,4.3256,51.574,1.4685,33.948,44.5,0.1,0.025,87.8,2,3
27.159,23.22,diamict,massive_diamict,12.292,4.3256,51.574,1.4685,33.948,44.5,0.1,0.025,91.1,2,3
27.184,23.24,diamict,massive_diamict,12.302,4.5737,50.681,1.5317,40.559,44.64,-1.1,0.025,91.1,2,3
27.195,23.25,diamict,massive_diamict,12.302,4.5737,50.681,1.5317,40.559,44.64,-1.1,0.025,91.1,2,3
27.209,23.26,diamict,massive_diamict,10.707,4.9858,60.371,1.5035,38.354,42.177,-0.7,0.025,88.1,2,3
27.234,23.29,diamict,massive_diamict,8.352,9.5239,58.212,1.1509,38.08,34.607,1.3,0.025,88.1,2,3
27.245,23.3,diamict,massive_diamict,11.479,4.1245,56.617,1.4663,38.789,42.716,1.3,0.025,77.3,2,3
27.262,23.31,diamict,massive_diamict,11.479,4.1245,56.617,1.4663,38.789,42.716,1.3,0.025,77.3,2,3
27.287,23.33,diamict,massive_diamict,12.677,4.0744,49.87,1.5346,39.848,45.304,2.3,0.025,77.3,2,3
27.302,23.34,diamict,massive_diamict,12.856,4.5924,52.556,1.5719,41.123,45.345,2.3,0.025,77.3,2,3
27.312,23.35,diamict,massive_diamict,12.856,4.5924,52.556,1.5719,41.123,45.345,2.3,0.023,78,2,3
27.337,23.37,diamict,massive_diamict,11.965,4.9597,50.738,1.5479,39.666,44.727,1.9,0.023,77.9,2,3
