"","depth","mclust_results","hclust_3PCs-5Clusters"
"797",10.787,1,1
"798",10.812,1,1
"799",10.816,1,1
"800",10.837,1,3
"801",10.862,1,1
"802",10.866,1,1
"803",10.887,1,1
"804",10.912,1,1
"805",10.916,1,1
"806",10.937,1,1
"807",10.962,2,1
"808",10.966,1,3
"809",10.987,1,2
"810",11.012,2,1
"811",11.016,2,1
"812",11.037,2,1
"813",11.062,1,1
"814",11.066,2,1
"815",11.087,2,1
"816",11.112,1,1
"817",11.116,1,1
"818",11.137,2,1
"819",11.162,2,1
"820",11.166,2,1
"821",11.187,2,1
"822",11.212,2,1
"823",11.216,2,1
"824",11.237,2,1
"825",11.262,2,1
"826",11.266,2,1
"827",11.287,1,1
"828",11.312,1,1
"829",11.316,1,1
"830",11.337,1,1
"831",11.362,1,3
"832",11.366,1,3
"833",11.387,2,1
"834",11.412,1,1
"835",11.416,1,1
"836",11.437,1,1
"837",11.462,1,2
"838",11.466,2,1
"839",11.487,2,1
"840",11.512,2,1
"841",11.516,2,1
"842",11.537,2,1
"843",11.562,2,1
"844",11.566,2,1
"845",11.587,2,1
"846",11.612,2,1
"847",11.616,2,1
"848",11.637,1,1
"849",11.662,2,1
"850",11.666,2,1
"851",11.687,2,1
"852",11.712,2,1
"853",11.716,2,1
"854",11.737,1,1
"855",11.762,1,1
"856",11.772,1,3
"857",11.787,1,2
"858",11.812,2,2
"859",11.822,2,2
"860",11.837,2,1
"861",11.862,2,1
"862",11.872,2,1
"863",11.887,1,1
"864",11.912,2,1
"865",11.922,2,1
"866",11.937,1,1
"867",11.962,2,1
"868",11.972,1,3
"869",11.987,1,3
"870",12.012,1,2
"871",12.022,3,3
"872",12.037,1,3
"873",12.062,2,1
"874",12.072,2,1
"875",12.087,1,1
"876",12.112,1,3
"877",12.122,1,3
"878",12.137,2,1
"879",12.162,1,3
"880",12.172,1,2
"881",12.187,2,1
"882",12.212,1,3
"883",12.222,1,3
"884",12.237,2,1
"885",12.262,2,1
"886",12.272,1,3
"887",12.287,1,3
"888",12.312,1,1
"889",12.322,1,1
"890",12.337,1,3
"891",12.362,2,1
"892",12.372,2,1
"893",12.387,1,3
"894",12.412,1,3
"895",12.422,1,3
"896",12.437,1,3
"897",12.462,1,3
"898",12.472,1,3
"899",12.487,1,3
"900",12.512,1,3
"901",12.522,1,3
"902",12.537,1,3
"903",12.562,1,1
"904",12.572,1,1
"905",12.587,1,1
"906",12.612,1,1
"907",12.622,1,3
"908",12.637,1,3
"909",12.662,1,3
"910",12.672,1,3
"911",12.687,1,3
"912",12.712,1,1
"913",12.722,1,1
"914",12.737,2,1
"915",12.762,1,3
"916",12.772,3,3
"917",12.787,1,3
"918",12.812,1,3
"919",12.822,1,3
"920",12.837,1,3
"921",12.862,1,3
"922",12.872,1,3
"923",12.887,1,3
"924",12.912,1,3
"925",12.922,1,3
"926",12.937,2,1
"927",12.962,1,3
"928",12.972,1,3
"929",12.987,2,1
"930",13.012,2,1
"931",13.022,2,1
"932",13.037,2,3
"933",13.062,1,3
"934",13.072,1,3
"935",13.087,1,3
"936",13.112,1,3
"937",13.122,1,3
"938",13.137,1,3
"939",13.162,3,3
"940",13.172,1,2
"941",13.187,1,3
"942",13.212,2,1
"943",13.222,2,1
"944",13.237,1,3
"945",13.251,1,3
"946",13.276,1,3
"947",13.281,1,3
"948",13.301,1,2
"949",13.326,2,1
"950",13.331,2,1
"951",13.351,2,1
"952",13.376,1,3
"953",13.381,1,3
"954",13.401,1,3
"955",13.426,1,3
"956",13.431,1,3
"957",13.451,1,3
"958",13.476,1,3
"959",13.481,1,3
"960",13.501,2,1
"961",13.526,1,3
"962",13.531,1,3
"963",13.551,1,1
"964",13.576,1,3
"965",13.581,1,3
"966",13.601,1,3
"967",13.626,1,2
"968",13.631,1,2
"969",13.651,1,3
"970",13.676,1,2
"971",13.681,1,2
"972",13.701,1,1
"973",13.726,1,1
"974",13.731,2,1
"975",13.751,2,1
"976",13.776,1,2
"977",13.781,1,2
"978",13.801,1,2
"979",13.826,1,3
"980",13.831,1,3
"981",13.851,1,2
"982",13.876,1,3
"983",13.881,1,3
"984",13.901,1,3
"985",13.926,1,3
"986",13.931,1,3
"987",13.951,1,3
"988",13.976,1,3
"989",13.981,1,3
"990",14.001,3,3
"991",14.026,3,3
"992",14.031,3,3
"993",14.051,1,3
"994",14.076,1,2
"995",14.081,1,2
"996",14.101,1,3
"997",14.126,1,2
"998",14.131,1,2
"999",14.151,3,3
"1000",14.176,3,3
"1001",14.181,3,3
"1002",14.201,1,2
"1003",14.226,3,3
"1004",14.231,3,3
"1005",14.251,3,3
"1006",14.276,1,2
"1007",14.281,1,2
"1008",14.301,1,3
"1009",14.326,3,2
"1010",14.331,3,2
"1011",14.351,3,3
"1012",14.367,2,3
"1013",14.382,2,3
"1014",14.392,2,1
"1015",14.417,1,3
"1016",14.432,1,3
"1017",14.442,1,3
"1018",14.467,1,3
"1019",14.482,1,3
"1020",14.492,1,3
"1021",14.517,2,1
"1022",14.532,2,1
"1023",14.542,2,1
"1024",14.567,2,1
"1025",14.582,2,1
"1026",14.592,2,1
"1027",14.617,2,3
"1028",14.632,2,3
"1029",14.642,2,3
"1030",14.667,2,1
"1031",14.682,2,1
"1032",14.692,1,3
"1033",14.717,1,3
"1034",14.732,2,3
"1035",14.742,2,3
"1036",14.767,2,3
"1037",14.782,2,3
"1038",14.792,2,1
"1039",14.817,2,3
"1040",14.832,2,3
"1041",14.842,2,3
"1042",14.867,2,3
"1043",14.882,2,3
"1044",14.892,2,3
"1045",14.917,1,3
"1046",14.932,2,1
"1047",14.942,2,1
"1048",14.967,1,3
"1049",14.982,1,3
"1050",14.992,1,3
"1051",15.017,1,3
"1052",15.032,1,3
"1053",15.042,1,3
"1054",15.067,1,3
"1055",15.082,1,3
"1056",15.092,1,3
"1057",15.117,1,3
"1058",15.132,1,3
"1059",15.142,1,3
"1060",15.167,1,3
"1061",15.182,1,3
"1062",15.192,1,3
"1063",15.217,1,3
"1064",15.232,1,3
"1065",15.242,1,3
"1066",15.267,2,3
"1067",15.282,2,3
"1068",15.292,1,3
"1069",15.317,2,1
"1070",15.332,2,3
"1071",15.342,5,4
"1072",15.367,5,4
"1073",15.382,5,4
"1074",15.392,1,3
"1075",15.417,1,3
"1076",15.432,1,3
"1077",15.442,2,1
"1078",15.467,2,3
"1079",15.482,2,3
"1080",15.492,2,1
"1081",15.517,1,3
"1082",15.532,1,1
"1083",15.542,1,1
"1084",15.567,2,1
"1085",15.582,2,1
"1086",15.592,3,3
"1087",15.604,3,3
"1088",15.623,3,3
"1089",15.629,2,1
"1090",15.654,1,1
"1091",15.673,1,3
"1092",15.679,1,3
"1093",15.704,2,1
"1094",15.723,2,1
